Date,D0,D1,Value
1915-08,M0,CZK100,
1915-08,M0,HUF100,
1915-08,M0,PLN100,
1915-08,M0,RUB100,
1915-08,M0,SEK100,
1915-08,M0,TRY100,
1915-08,M0,USD1,5.347
1915-08,M0,CAD1,
1915-08,M0,ARS100,
1915-08,M0,BRL100,
1915-08,M0,MXN100,
1915-08,M0,ZAR1,
1915-08,M0,JPY100,
1915-08,M0,AUD1,
1915-08,M0,CNY100,
1915-08,M0,HKD100,
1915-08,M0,KRW100,
1915-08,M0,MYR100,
1915-08,M0,NZD1,
1915-08,M0,SGD100,
1915-08,M0,THB100,
1915-08,M0,XDR1,
1915-08,M1,EUR1,
1915-08,M1,GBP1,
1915-08,M1,DKK100,
1915-08,M1,NOK100,
1915-08,M1,CZK100,
1915-08,M1,HUF100,
1915-08,M1,PLN100,
1915-08,M1,RUB100,
1915-08,M1,SEK100,
1915-08,M1,TRY100,
1915-08,M1,USD1,
1915-08,M1,CAD1,
1915-08,M1,ARS100,
1915-08,M1,BRL100,
1915-08,M1,MXN100,
1915-08,M1,ZAR1,
1915-08,M1,JPY100,
1915-08,M1,AUD1,
1915-08,M1,CNY100,
1915-08,M1,HKD100,
1915-08,M1,KRW100,
1915-08,M1,MYR100,
1915-08,M1,NZD1,
1915-08,M1,SGD100,
1915-08,M1,THB100,
1915-08,M1,XDR1,
1915-09,M0,EUR1,
1915-09,M0,GBP1,24.955
1915-09,M0,DKK100,
1915-09,M0,NOK100,
1915-09,M0,CZK100,
1915-09,M0,HUF100,
1915-09,M0,PLN100,
1915-09,M0,RUB100,
1915-09,M0,SEK100,
1915-09,M0,TRY100,
1915-09,M0,USD1,5.332
1915-09,M0,CAD1,
1915-09,M0,ARS100,
1915-09,M0,BRL100,
1915-09,M0,MXN100,
1915-09,M0,ZAR1,
1915-09,M0,JPY100,
1915-09,M0,AUD1,
1915-09,M0,CNY100,
1915-09,M0,HKD100,
1915-09,M0,KRW100,
1915-09,M0,MYR100,
1915-09,M0,NZD1,
1915-09,M0,SGD100,
1915-09,M0,THB100,
1915-09,M0,XDR1,
1915-09,M1,EUR1,
1915-09,M1,GBP1,
1915-09,M1,DKK100,
1915-09,M1,NOK100,
1915-09,M1,CZK100,
1915-09,M1,HUF100,
1915-09,M1,PLN100,
1915-09,M1,RUB100,
1915-09,M1,SEK100,
1915-09,M1,TRY100,
1915-09,M1,USD1,
1915-09,M1,CAD1,
1915-09,M1,ARS100,
1915-09,M1,BRL100,
1915-09,M1,MXN100,
1915-09,M1,ZAR1,
1915-09,M1,JPY100,
1915-09,M1,AUD1,
1915-09,M1,CNY100,
1915-09,M1,HKD100,
1915-09,M1,KRW100,
1915-09,M1,MYR100,
1915-09,M1,NZD1,
1915-09,M1,SGD100,
1915-09,M1,THB100,
1915-09,M1,XDR1,
1915-10,M0,EUR1,
1915-10,M0,GBP1,24.925
1915-10,M0,DKK100,
1915-10,M0,NOK100,
1915-10,M0,CZK100,
1915-10,M0,HUF100,
1915-10,M0,PLN100,
1915-10,M0,RUB100,
1915-10,M0,SEK100,
1915-10,M0,TRY100,
1915-10,M0,USD1,5.309
1915-10,M0,CAD1,
1915-10,M0,ARS100,
1915-10,M0,BRL100,
1915-10,M0,MXN100,
1915-10,M0,ZAR1,
1915-10,M0,JPY100,
1915-10,M0,AUD1,
1915-10,M0,CNY100,
1915-10,M0,HKD100,
1915-10,M0,KRW100,
1915-10,M0,MYR100,
1915-10,M0,NZD1,
1915-10,M0,SGD100,
1915-10,M0,THB100,
1915-10,M0,XDR1,
1915-10,M1,EUR1,
1915-10,M1,GBP1,
1915-10,M1,DKK100,
1915-10,M1,NOK100,
1915-10,M1,CZK100,
1915-10,M1,HUF100,
1915-10,M1,PLN100,
1915-10,M1,RUB100,
1915-10,M1,SEK100,
1915-10,M1,TRY100,
1915-10,M1,USD1,
1915-10,M1,CAD1,
1915-10,M1,ARS100,
1915-10,M1,BRL100,
1915-10,M1,MXN100,
1915-10,M1,ZAR1,
1915-10,M1,JPY100,
1915-10,M1,AUD1,
1915-10,M1,CNY100,
1915-10,M1,HKD100,
1915-10,M1,KRW100,
1915-10,M1,MYR100,
1915-10,M1,NZD1,
1915-10,M1,SGD100,
1915-10,M1,THB100,
1915-10,M1,XDR1,
1915-11,M0,EUR1,
1915-11,M0,GBP1,24.932
1915-11,M0,DKK100,
1915-11,M0,NOK100,
1915-11,M0,CZK100,
1915-11,M0,HUF100,
1915-11,M0,PLN100,
1915-11,M0,RUB100,
1915-11,M0,SEK100,
1915-11,M0,TRY100,
1915-11,M0,USD1,5.34
1915-11,M0,CAD1,
1915-11,M0,ARS100,
1915-11,M0,BRL100,
1915-11,M0,MXN100,
1915-11,M0,ZAR1,
1915-11,M0,JPY100,
1915-11,M0,AUD1,
1915-11,M0,CNY100,
1915-11,M0,HKD100,
1915-11,M0,KRW100,
1915-11,M0,MYR100,
1915-11,M0,NZD1,
1915-11,M0,SGD100,
1915-11,M0,THB100,
1915-11,M0,XDR1,
1915-11,M1,EUR1,
1915-11,M1,GBP1,
1915-11,M1,DKK100,
1915-11,M1,NOK100,
1915-11,M1,CZK100,
1915-11,M1,HUF100,
1915-11,M1,PLN100,
1915-11,M1,RUB100,
1915-11,M1,SEK100,
1915-11,M1,TRY100,
1915-11,M1,USD1,
1915-11,M1,CAD1,
1915-11,M1,ARS100,
1915-11,M1,BRL100,
1915-11,M1,MXN100,
1915-11,M1,ZAR1,
1915-11,M1,JPY100,
1915-11,M1,AUD1,
1915-11,M1,CNY100,
1915-11,M1,HKD100,
1915-11,M1,KRW100,
1915-11,M1,MYR100,
1915-11,M1,NZD1,
1915-11,M1,SGD100,
1915-11,M1,THB100,
1915-11,M1,XDR1,
1915-12,M0,EUR1,
1915-12,M0,GBP1,25.015
1915-12,M0,DKK100,
1915-12,M0,NOK100,
1915-12,M0,CZK100,
1915-12,M0,HUF100,
1915-12,M0,PLN100,
1915-12,M0,RUB100,
1915-12,M0,SEK100,
1915-12,M0,TRY100,
1915-12,M0,USD1,5.291
1915-12,M0,CAD1,
1915-12,M0,ARS100,
1915-12,M0,BRL100,
1915-12,M0,MXN100,
1915-12,M0,ZAR1,
1915-12,M0,JPY100,
1915-12,M0,AUD1,
1915-12,M0,CNY100,
1915-12,M0,HKD100,
1915-12,M0,KRW100,
1915-12,M0,MYR100,
1915-12,M0,NZD1,
1915-12,M0,SGD100,
1915-12,M0,THB100,
1915-12,M0,XDR1,
1915-12,M1,EUR1,
1915-12,M1,GBP1,
1915-12,M1,DKK100,
1915-12,M1,NOK100,
1915-12,M1,CZK100,
1915-12,M1,HUF100,
1915-12,M1,PLN100,
1915-12,M1,RUB100,
1915-12,M1,SEK100,
1915-12,M1,TRY100,
1915-12,M1,USD1,
1915-12,M1,CAD1,
1915-12,M1,ARS100,
1915-12,M1,BRL100,
1915-12,M1,MXN100,
1915-12,M1,ZAR1,
1915-12,M1,JPY100,
1915-12,M1,AUD1,
1915-12,M1,CNY100,
1915-12,M1,HKD100,
1915-12,M1,KRW100,
1915-12,M1,MYR100,
1915-12,M1,NZD1,
1915-12,M1,SGD100,
1915-12,M1,THB100,
1915-12,M1,XDR1,
1916-01,M0,EUR1,
1916-01,M0,GBP1,24.692
1916-01,M0,DKK100,
1916-01,M0,NOK100,
1916-01,M0,CZK100,
1916-01,M0,HUF100,
1916-01,M0,PLN100,
1916-01,M0,RUB100,
1916-01,M0,SEK100,
1916-01,M0,TRY100,
1916-01,M0,USD1,5.174
1916-01,M0,CAD1,
1916-01,M0,ARS100,
1916-01,M0,BRL100,
1916-01,M0,MXN100,
1916-01,M0,ZAR1,
1916-01,M0,JPY100,
1916-01,M0,AUD1,
1916-01,M0,CNY100,
1916-01,M0,HKD100,
1916-01,M0,KRW100,
1916-01,M0,MYR100,
1916-01,M0,NZD1,
1916-01,M0,SGD100,
1916-01,M0,THB100,
1916-01,M0,XDR1,
1916-01,M1,EUR1,
1916-01,M1,GBP1,
1916-01,M1,DKK100,
1916-01,M1,NOK100,
1916-01,M1,CZK100,
1916-01,M1,HUF100,
1916-01,M1,PLN100,
1916-01,M1,RUB100,
1916-01,M1,SEK100,
1916-01,M1,TRY100,
1916-01,M1,USD1,
1916-01,M1,CAD1,
1916-01,M1,ARS100,
1916-01,M1,BRL100,
1916-01,M1,MXN100,
1916-01,M1,ZAR1,
1916-01,M1,JPY100,
1916-01,M1,AUD1,
1916-01,M1,CNY100,
1916-01,M1,HKD100,
1916-01,M1,KRW100,
1916-01,M1,MYR100,
1916-01,M1,NZD1,
1916-01,M1,SGD100,
1916-01,M1,THB100,
1916-01,M1,XDR1,
1916-02,M0,EUR1,
1916-02,M0,GBP1,24.952
1916-02,M0,DKK100,
1916-02,M0,NOK100,
1916-02,M0,CZK100,
1916-02,M0,HUF100,
1916-02,M0,PLN100,
1916-02,M0,RUB100,
1916-02,M0,SEK100,
1916-02,M0,TRY100,
1916-02,M0,USD1,5.226
1916-02,M0,CAD1,
1916-02,M0,ARS100,
1916-02,M0,BRL100,
1916-02,M0,MXN100,
1916-02,M0,ZAR1,
1916-02,M0,JPY100,
1916-02,M0,AUD1,
1916-02,M0,CNY100,
1916-02,M0,HKD100,
1916-02,M0,KRW100,
1916-02,M0,MYR100,
1916-02,M0,NZD1,
1916-02,M0,SGD100,
1916-02,M0,THB100,
1916-02,M0,XDR1,
1916-02,M1,EUR1,
1916-02,M1,GBP1,
1916-02,M1,DKK100,
1916-02,M1,NOK100,
1916-02,M1,CZK100,
1916-02,M1,HUF100,
1916-02,M1,PLN100,
1916-02,M1,RUB100,
1916-02,M1,SEK100,
1916-02,M1,TRY100,
1916-02,M1,USD1,
1916-02,M1,CAD1,
1916-02,M1,ARS100,
1916-02,M1,BRL100,
1916-02,M1,MXN100,
1916-02,M1,ZAR1,
1916-02,M1,JPY100,
1916-02,M1,AUD1,
1916-02,M1,CNY100,
1916-02,M1,HKD100,
1916-02,M1,KRW100,
1916-02,M1,MYR100,
1916-02,M1,NZD1,
1916-02,M1,SGD100,
1916-02,M1,THB100,
1916-02,M1,XDR1,
1916-03,M0,EUR1,
1916-03,M0,GBP1,24.955
1916-03,M0,DKK100,
1916-03,M0,NOK100,
1916-03,M0,CZK100,
1916-03,M0,HUF100,
1916-03,M0,PLN100,
1916-03,M0,RUB100,
1916-03,M0,SEK100,
1916-03,M0,TRY100,
1916-03,M0,USD1,5.228
1916-03,M0,CAD1,
1916-03,M0,ARS100,
1916-03,M0,BRL100,
1916-03,M0,MXN100,
1916-03,M0,ZAR1,
1916-03,M0,JPY100,
1916-03,M0,AUD1,
1916-03,M0,CNY100,
1916-03,M0,HKD100,
1916-03,M0,KRW100,
1916-03,M0,MYR100,
1916-03,M0,NZD1,
1916-03,M0,SGD100,
1916-03,M0,THB100,
1916-03,M0,XDR1,
1916-03,M1,EUR1,
1916-03,M1,GBP1,
1916-03,M1,DKK100,
1916-03,M1,NOK100,
1916-03,M1,CZK100,
1916-03,M1,HUF100,
1916-03,M1,PLN100,
1916-03,M1,RUB100,
1916-03,M1,SEK100,
1916-03,M1,TRY100,
1916-03,M1,USD1,
1916-03,M1,CAD1,
1916-03,M1,ARS100,
1916-03,M1,BRL100,
1916-03,M1,MXN100,
1916-03,M1,ZAR1,
1916-03,M1,JPY100,
1916-03,M1,AUD1,
1916-03,M1,CNY100,
1916-03,M1,HKD100,
1916-03,M1,KRW100,
1916-03,M1,MYR100,
1916-03,M1,NZD1,
1916-03,M1,SGD100,
1916-03,M1,THB100,
1916-03,M1,XDR1,
1916-04,M0,EUR1,
1916-04,M0,GBP1,24.7
1916-04,M0,DKK100,
1916-04,M0,NOK100,
1916-04,M0,CZK100,
1916-04,M0,HUF100,
1916-04,M0,PLN100,
1916-04,M0,RUB100,
1916-04,M0,SEK100,
1916-04,M0,TRY100,
1916-04,M0,USD1,5.181
1916-04,M0,CAD1,
1916-04,M0,ARS100,
1916-04,M0,BRL100,
1916-04,M0,MXN100,
1916-04,M0,ZAR1,
1916-04,M0,JPY100,
1916-04,M0,AUD1,
1916-04,M0,CNY100,
1916-04,M0,HKD100,
1916-04,M0,KRW100,
1916-04,M0,MYR100,
1916-04,M0,NZD1,
1916-04,M0,SGD100,
1916-04,M0,THB100,
1916-04,M0,XDR1,
1916-04,M1,EUR1,
1916-04,M1,GBP1,
1916-04,M1,DKK100,
1916-04,M1,NOK100,
1916-04,M1,CZK100,
1916-04,M1,HUF100,
1916-04,M1,PLN100,
1916-04,M1,RUB100,
1916-04,M1,SEK100,
1916-04,M1,TRY100,
1916-04,M1,USD1,
1916-04,M1,CAD1,
1916-04,M1,ARS100,
1916-04,M1,BRL100,
1916-04,M1,MXN100,
1916-04,M1,ZAR1,
1916-04,M1,JPY100,
1916-04,M1,AUD1,
1916-04,M1,CNY100,
1916-04,M1,HKD100,
1916-04,M1,KRW100,
1916-04,M1,MYR100,
1916-04,M1,NZD1,
1916-04,M1,SGD100,
1916-04,M1,THB100,
1916-04,M1,XDR1,
1916-05,M0,EUR1,
1916-05,M0,GBP1,24.852
1916-05,M0,DKK100,
1916-05,M0,NOK100,
1916-05,M0,CZK100,
1916-05,M0,HUF100,
1916-05,M0,PLN100,
1916-05,M0,RUB100,
1916-05,M0,SEK100,
1916-05,M0,TRY100,
1916-05,M0,USD1,5.208
1916-05,M0,CAD1,
1916-05,M0,ARS100,
1916-05,M0,BRL100,
1916-05,M0,MXN100,
1916-05,M0,ZAR1,
1916-05,M0,JPY100,
1916-05,M0,AUD1,
1916-05,M0,CNY100,
1916-05,M0,HKD100,
1916-05,M0,KRW100,
1916-05,M0,MYR100,
1916-05,M0,NZD1,
1916-05,M0,SGD100,
1916-05,M0,THB100,
1916-05,M0,XDR1,
1916-05,M1,EUR1,
1916-05,M1,GBP1,
1916-05,M1,DKK100,
1916-05,M1,NOK100,
1916-05,M1,CZK100,
1916-05,M1,HUF100,
1916-05,M1,PLN100,
1916-05,M1,RUB100,
1916-05,M1,SEK100,
1916-05,M1,TRY100,
1916-05,M1,USD1,
1916-05,M1,CAD1,
1916-05,M1,ARS100,
1916-05,M1,BRL100,
1916-05,M1,MXN100,
1916-05,M1,ZAR1,
1916-05,M1,JPY100,
1916-05,M1,AUD1,
1916-05,M1,CNY100,
1916-05,M1,HKD100,
1916-05,M1,KRW100,
1916-05,M1,MYR100,
1916-05,M1,NZD1,
1916-05,M1,SGD100,
1916-05,M1,THB100,
1916-05,M1,XDR1,
1916-06,M0,EUR1,
1916-06,M0,GBP1,25.087
1916-06,M0,DKK100,
1916-06,M0,NOK100,
1916-06,M0,CZK100,
1916-06,M0,HUF100,
1916-06,M0,PLN100,
1916-06,M0,RUB100,
1916-06,M0,SEK100,
1916-06,M0,TRY100,
1916-06,M0,USD1,5.262
1916-06,M0,CAD1,
1916-06,M0,ARS100,
1916-06,M0,BRL100,
1916-06,M0,MXN100,
1916-06,M0,ZAR1,
1916-06,M0,JPY100,
1916-06,M0,AUD1,
1916-06,M0,CNY100,
1916-06,M0,HKD100,
1916-06,M0,KRW100,
1916-06,M0,MYR100,
1916-06,M0,NZD1,
1916-06,M0,SGD100,
1916-06,M0,THB100,
1916-06,M0,XDR1,
1916-06,M1,EUR1,
1916-06,M1,GBP1,
1916-06,M1,DKK100,
1916-06,M1,NOK100,
1916-06,M1,CZK100,
1916-06,M1,HUF100,
1916-06,M1,PLN100,
1916-06,M1,RUB100,
1916-06,M1,SEK100,
1916-06,M1,TRY100,
1916-06,M1,USD1,
1916-06,M1,CAD1,
1916-06,M1,ARS100,
1916-06,M1,BRL100,
1916-06,M1,MXN100,
1916-06,M1,ZAR1,
1916-06,M1,JPY100,
1916-06,M1,AUD1,
1916-06,M1,CNY100,
1916-06,M1,HKD100,
1916-06,M1,KRW100,
1916-06,M1,MYR100,
1916-06,M1,NZD1,
1916-06,M1,SGD100,
1916-06,M1,THB100,
1916-06,M1,XDR1,
1916-07,M0,EUR1,
1916-07,M0,GBP1,25.21
1916-07,M0,DKK100,
1916-07,M0,NOK100,
1916-07,M0,CZK100,
1916-07,M0,HUF100,
1916-07,M0,PLN100,
1916-07,M0,RUB100,
1916-07,M0,SEK100,
1916-07,M0,TRY100,
1916-07,M0,USD1,5.287
1916-07,M0,CAD1,
1916-07,M0,ARS100,
1916-07,M0,BRL100,
1916-07,M0,MXN100,
1916-07,M0,ZAR1,
1916-07,M0,JPY100,
1916-07,M0,AUD1,
1916-07,M0,CNY100,
1916-07,M0,HKD100,
1916-07,M0,KRW100,
1916-07,M0,MYR100,
1916-07,M0,NZD1,
1916-07,M0,SGD100,
1916-07,M0,THB100,
1916-07,M0,XDR1,
1916-07,M1,EUR1,
1916-07,M1,GBP1,
1916-07,M1,DKK100,
1916-07,M1,NOK100,
1916-07,M1,CZK100,
1916-07,M1,HUF100,
1916-07,M1,PLN100,
1916-07,M1,RUB100,
1916-07,M1,SEK100,
1916-07,M1,TRY100,
1916-07,M1,USD1,
1916-07,M1,CAD1,
1916-07,M1,ARS100,
1916-07,M1,BRL100,
1916-07,M1,MXN100,
1916-07,M1,ZAR1,
1916-07,M1,JPY100,
1916-07,M1,AUD1,
1916-07,M1,CNY100,
1916-07,M1,HKD100,
1916-07,M1,KRW100,
1916-07,M1,MYR100,
1916-07,M1,NZD1,
1916-07,M1,SGD100,
1916-07,M1,THB100,
1916-07,M1,XDR1,
1916-08,M0,EUR1,
1916-08,M0,GBP1,25.24
1916-08,M0,DKK100,
1916-08,M0,NOK100,
1916-08,M0,CZK100,
1916-08,M0,HUF100,
1916-08,M0,PLN100,
1916-08,M0,RUB100,
1916-08,M0,SEK100,
1916-08,M0,TRY100,
1916-08,M0,USD1,5.296
1916-08,M0,CAD1,
1916-08,M0,ARS100,
1916-08,M0,BRL100,
1916-08,M0,MXN100,
1916-08,M0,ZAR1,
1916-08,M0,JPY100,
1916-08,M0,AUD1,
1916-08,M0,CNY100,
1916-08,M0,HKD100,
1916-08,M0,KRW100,
1916-08,M0,MYR100,
1916-08,M0,NZD1,
1916-08,M0,SGD100,
1916-08,M0,THB100,
1916-08,M0,XDR1,
1916-08,M1,EUR1,
1916-08,M1,GBP1,
1916-08,M1,DKK100,
1916-08,M1,NOK100,
1916-08,M1,CZK100,
1916-08,M1,HUF100,
1916-08,M1,PLN100,
1916-08,M1,RUB100,
1916-08,M1,SEK100,
1916-08,M1,TRY100,
1916-08,M1,USD1,
1916-08,M1,CAD1,
1916-08,M1,ARS100,
1916-08,M1,BRL100,
1916-08,M1,MXN100,
1916-08,M1,ZAR1,
1916-08,M1,JPY100,
1916-08,M1,AUD1,
1916-08,M1,CNY100,
1916-08,M1,HKD100,
1916-08,M1,KRW100,
1916-08,M1,MYR100,
1916-08,M1,NZD1,
1916-08,M1,SGD100,
1916-08,M1,THB100,
1916-08,M1,XDR1,
1916-09,M0,EUR1,
1916-09,M0,GBP1,25.382
1916-09,M0,DKK100,
1916-09,M0,NOK100,
1916-09,M0,CZK100,
1916-09,M0,HUF100,
1916-09,M0,PLN100,
1916-09,M0,RUB100,
1916-09,M0,SEK100,
1916-09,M0,TRY100,
1916-09,M0,USD1,5.327
1916-09,M0,CAD1,
1916-09,M0,ARS100,
1916-09,M0,BRL100,
1916-09,M0,MXN100,
1916-09,M0,ZAR1,
1916-09,M0,JPY100,
1916-09,M0,AUD1,
1916-09,M0,CNY100,
1916-09,M0,HKD100,
1916-09,M0,KRW100,
1916-09,M0,MYR100,
1916-09,M0,NZD1,
1916-09,M0,SGD100,
1916-09,M0,THB100,
1916-09,M0,XDR1,
1916-09,M1,EUR1,
1916-09,M1,GBP1,
1916-09,M1,DKK100,
1916-09,M1,NOK100,
1916-09,M1,CZK100,
1916-09,M1,HUF100,
1916-09,M1,PLN100,
1916-09,M1,RUB100,
1916-09,M1,SEK100,
1916-09,M1,TRY100,
1916-09,M1,USD1,
1916-09,M1,CAD1,
1916-09,M1,ARS100,
1916-09,M1,BRL100,
1916-09,M1,MXN100,
1916-09,M1,ZAR1,
1916-09,M1,JPY100,
1916-09,M1,AUD1,
1916-09,M1,CNY100,
1916-09,M1,HKD100,
1916-09,M1,KRW100,
1916-09,M1,MYR100,
1916-09,M1,NZD1,
1916-09,M1,SGD100,
1916-09,M1,THB100,
1916-09,M1,XDR1,
1916-10,M0,EUR1,
1916-10,M0,GBP1,25.122
1916-10,M0,DKK100,
1916-10,M0,NOK100,
1916-10,M0,CZK100,
1916-10,M0,HUF100,
1916-10,M0,PLN100,
1916-10,M0,RUB100,
1916-10,M0,SEK100,
1916-10,M0,TRY100,
1916-10,M0,USD1,5.271
1916-10,M0,CAD1,
1916-10,M0,ARS100,
1916-10,M0,BRL100,
1916-10,M0,MXN100,
1916-10,M0,ZAR1,
1916-10,M0,JPY100,
1916-10,M0,AUD1,
1916-10,M0,CNY100,
1916-10,M0,HKD100,
1916-10,M0,KRW100,
1916-10,M0,MYR100,
1916-10,M0,NZD1,
1916-10,M0,SGD100,
1916-10,M0,THB100,
1916-10,M0,XDR1,
1916-10,M1,EUR1,
1916-10,M1,GBP1,
1916-10,M1,DKK100,
1916-10,M1,NOK100,
1916-10,M1,CZK100,
1916-10,M1,HUF100,
1916-10,M1,PLN100,
1916-10,M1,RUB100,
1916-10,M1,SEK100,
1916-10,M1,TRY100,
1916-10,M1,USD1,
1916-10,M1,CAD1,
1916-10,M1,ARS100,
1916-10,M1,BRL100,
1916-10,M1,MXN100,
1916-10,M1,ZAR1,
1916-10,M1,JPY100,
1916-10,M1,AUD1,
1916-10,M1,CNY100,
1916-10,M1,HKD100,
1916-10,M1,KRW100,
1916-10,M1,MYR100,
1916-10,M1,NZD1,
1916-10,M1,SGD100,
1916-10,M1,THB100,
1916-10,M1,XDR1,
1916-11,M0,EUR1,
1916-11,M0,GBP1,24.72
1916-11,M0,DKK100,
1916-11,M0,NOK100,
1916-11,M0,CZK100,
1916-11,M0,HUF100,
1916-11,M0,PLN100,
1916-11,M0,RUB100,
1916-11,M0,SEK100,
1916-11,M0,TRY100,
1916-11,M0,USD1,5.189
1916-11,M0,CAD1,
1916-11,M0,ARS100,
1916-11,M0,BRL100,
1916-11,M0,MXN100,
1916-11,M0,ZAR1,
1916-11,M0,JPY100,
1916-11,M0,AUD1,
1916-11,M0,CNY100,
1916-11,M0,HKD100,
1916-11,M0,KRW100,
1916-11,M0,MYR100,
1916-11,M0,NZD1,
1916-11,M0,SGD100,
1916-11,M0,THB100,
1916-11,M0,XDR1,
1916-11,M1,EUR1,
1916-11,M1,GBP1,
1916-11,M1,DKK100,
1916-11,M1,NOK100,
1916-11,M1,CZK100,
1916-11,M1,HUF100,
1916-11,M1,PLN100,
1916-11,M1,RUB100,
1916-11,M1,SEK100,
1916-11,M1,TRY100,
1916-11,M1,USD1,
1916-11,M1,CAD1,
1916-11,M1,ARS100,
1916-11,M1,BRL100,
1916-11,M1,MXN100,
1916-11,M1,ZAR1,
1916-11,M1,JPY100,
1916-11,M1,AUD1,
1916-11,M1,CNY100,
1916-11,M1,HKD100,
1916-11,M1,KRW100,
1916-11,M1,MYR100,
1916-11,M1,NZD1,
1916-11,M1,SGD100,
1916-11,M1,THB100,
1916-11,M1,XDR1,
1916-12,M0,EUR1,
1916-12,M0,GBP1,23.902
1916-12,M0,DKK100,
1916-12,M0,NOK100,
1916-12,M0,CZK100,
1916-12,M0,HUF100,
1916-12,M0,PLN100,
1916-12,M0,RUB100,
1916-12,M0,SEK100,
1916-12,M0,TRY100,
1916-12,M0,USD1,5.026
1916-12,M0,CAD1,
1916-12,M0,ARS100,
1916-12,M0,BRL100,
1916-12,M0,MXN100,
1916-12,M0,ZAR1,
1916-12,M0,JPY100,
1916-12,M0,AUD1,
1916-12,M0,CNY100,
1916-12,M0,HKD100,
1916-12,M0,KRW100,
1916-12,M0,MYR100,
1916-12,M0,NZD1,
1916-12,M0,SGD100,
1916-12,M0,THB100,
1916-12,M0,XDR1,
1916-12,M1,EUR1,
1916-12,M1,GBP1,
1916-12,M1,DKK100,
1916-12,M1,NOK100,
1916-12,M1,CZK100,
1916-12,M1,HUF100,
1916-12,M1,PLN100,
1916-12,M1,RUB100,
1916-12,M1,SEK100,
1916-12,M1,TRY100,
1916-12,M1,USD1,
1916-12,M1,CAD1,
1916-12,M1,ARS100,
1916-12,M1,BRL100,
1916-12,M1,MXN100,
1916-12,M1,ZAR1,
1916-12,M1,JPY100,
1916-12,M1,AUD1,
1916-12,M1,CNY100,
1916-12,M1,HKD100,
1916-12,M1,KRW100,
1916-12,M1,MYR100,
1916-12,M1,NZD1,
1916-12,M1,SGD100,
1916-12,M1,THB100,
1916-12,M1,XDR1,
1917-01,M0,EUR1,
1917-01,M0,GBP1,23.93
1917-01,M0,DKK100,
1917-01,M0,NOK100,
1917-01,M0,CZK100,
1917-01,M0,HUF100,
1917-01,M0,PLN100,
1917-01,M0,RUB100,
1917-01,M0,SEK100,
1917-01,M0,TRY100,
1917-01,M0,USD1,5.016
1917-01,M0,CAD1,
1917-01,M0,ARS100,
1917-01,M0,BRL100,
1917-01,M0,MXN100,
1917-01,M0,ZAR1,
1917-01,M0,JPY100,
1917-01,M0,AUD1,
1917-01,M0,CNY100,
1917-01,M0,HKD100,
1917-01,M0,KRW100,
1917-01,M0,MYR100,
1917-01,M0,NZD1,
1917-01,M0,SGD100,
1917-01,M0,THB100,
1917-01,M0,XDR1,
1917-01,M1,EUR1,
1917-01,M1,GBP1,
1917-01,M1,DKK100,
1917-01,M1,NOK100,
1917-01,M1,CZK100,
1917-01,M1,HUF100,
1917-01,M1,PLN100,
1917-01,M1,RUB100,
1917-01,M1,SEK100,
1917-01,M1,TRY100,
1917-01,M1,USD1,
1917-01,M1,CAD1,
1917-01,M1,ARS100,
1917-01,M1,BRL100,
1917-01,M1,MXN100,
1917-01,M1,ZAR1,
1917-01,M1,JPY100,
1917-01,M1,AUD1,
1917-01,M1,CNY100,
1917-01,M1,HKD100,
1917-01,M1,KRW100,
1917-01,M1,MYR100,
1917-01,M1,NZD1,
1917-01,M1,SGD100,
1917-01,M1,THB100,
1917-01,M1,XDR1,
1917-02,M0,EUR1,
1917-02,M0,GBP1,23.84
1917-02,M0,DKK100,
1917-02,M0,NOK100,
1917-02,M0,CZK100,
1917-02,M0,HUF100,
1917-02,M0,PLN100,
1917-02,M0,RUB100,
1917-02,M0,SEK100,
1917-02,M0,TRY100,
1917-02,M0,USD1,5.002
1917-02,M0,CAD1,
1917-02,M0,ARS100,
1917-02,M0,BRL100,
1917-02,M0,MXN100,
1917-02,M0,ZAR1,
1917-02,M0,JPY100,
1917-02,M0,AUD1,
1917-02,M0,CNY100,
1917-02,M0,HKD100,
1917-02,M0,KRW100,
1917-02,M0,MYR100,
1917-02,M0,NZD1,
1917-02,M0,SGD100,
1917-02,M0,THB100,
1917-02,M0,XDR1,
1917-02,M1,EUR1,
1917-02,M1,GBP1,
1917-02,M1,DKK100,
1917-02,M1,NOK100,
1917-02,M1,CZK100,
1917-02,M1,HUF100,
1917-02,M1,PLN100,
1917-02,M1,RUB100,
1917-02,M1,SEK100,
1917-02,M1,TRY100,
1917-02,M1,USD1,
1917-02,M1,CAD1,
1917-02,M1,ARS100,
1917-02,M1,BRL100,
1917-02,M1,MXN100,
1917-02,M1,ZAR1,
1917-02,M1,JPY100,
1917-02,M1,AUD1,
1917-02,M1,CNY100,
1917-02,M1,HKD100,
1917-02,M1,KRW100,
1917-02,M1,MYR100,
1917-02,M1,NZD1,
1917-02,M1,SGD100,
1917-02,M1,THB100,
1917-02,M1,XDR1,
1917-03,M0,EUR1,
1917-03,M0,GBP1,23.98
1917-03,M0,DKK100,
1917-03,M0,NOK100,
1917-03,M0,CZK100,
1917-03,M0,HUF100,
1917-03,M0,PLN100,
1917-03,M0,RUB100,
1917-03,M0,SEK100,
